Sketch: C:\Users\DiogoTito\Processing_Sketches\Bells_Game, 2013-12-29 18:05:52.931
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
NonStaticFieldFromStaticInvocation,{mouseX},Cannot make a static reference to the non-static field mouseX
StaticMethodRequested,{processing.core.PApplet| ellipse| float, float, float, float},Cannot make a static reference to the non-static method ellipse(float^ float^ float^ float) from the type PApplet
StaticMethodRequested,{processing.core.PApplet| fill| float, float, float},Cannot make a static reference to the non-static method fill(float^ float^ float) from the type PApplet
StaticMethodRequested,{processing.core.PApplet| stroke| int},Cannot make a static reference to the non-static method stroke(int) from the type PApplet
UnresolvedVariable,{MAXIMUM_BELL_SIZEs},MAXIMUM_BELL_SIZEs cannot be resolved to a variable
UnresolvedVariable,{MPLAYER_SIZE},MPLAYER_SIZE cannot be resolved to a variable
UnresolvedVariable,{MatPLAYER_SIZE},MatPLAYER_SIZE cannot be resolved to a variable
UnresolvedVariable,{MathPLAYER_SIZE},MathPLAYER_SIZE cannot be resolved to a variable
UnresolvedVariable,{NU},NU cannot be resolved to a variable
UnresolvedVariable,{PLA},PLA cannot be resolved to a variable
UndefinedField,{PLAYER_SIZE},PLAYER_SIZE cannot be resolved or is not a field
ParsingErrorDeleteToken,{)},Syntax error on token ")"^ delete this token
ParsingErrorInsertTokenAfter,{)| {},Syntax error on token ")"^ { expected after this token
ParsingError,{,| )},Syntax error on token "^"^ ) expected
ParsingErrorInsertTokenAfter,{,| Expression},Syntax error on token "^"^ Expression expected after this token
ParsingErrorDeleteToken,{,},Syntax error on token "^"^ delete this token
ParsingErrorInvalidToken,{,| Expression},Syntax error on token "^"^ invalid Expression
ParsingError,{.| :},Syntax error on token "."^ : expected
ParsingError,{.| ;},Syntax error on token "."^ ; expected
ParsingErrorInsertTokenAfter,{/| Expression},Syntax error on token "/"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{;| {},Syntax error on token ";"^ { expected after this token
ParsingErrorInvalidToken,{<| AssignmentOperator},Syntax error on token "<"^ invalid AssignmentOperator
ParsingError,{=| ;},Syntax error on token "="^ ; expected
ParsingErrorDeleteToken,{=},Syntax error on token "="^ delete this token
ParsingErrorDeleteToken,{P},Syntax error on token "P"^ delete this token
ParsingErrorDeleteToken,{PG},Syntax error on token "PG"^ delete this token
ParsingErrorDeleteToken,{PGraoh},Syntax error on token "PGraoh"^ delete this token
ParsingErrorDeleteToken,{PGrap},Syntax error on token "PGrap"^ delete this token
ParsingErrorDeleteToken,{PGraphi},Syntax error on token "PGraphi"^ delete this token
ParsingErrorDeleteToken,{PGraphics},Syntax error on token "PGraphics"^ delete this token
ParsingErrorDeleteToken,{PLAYER_SIZE},Syntax error on token "PLAYER_SIZE"^ delete this token
ParsingErrorDeleteToken,{]},Syntax error on token "]"^ delete this token
ParsingErrorInsertTokenAfter,{endDraw| Identifier},Syntax error on token "endDraw"^ Identifier expected after this token
ParsingError,{fina| final},Syntax error on token "fina"^ final expected
ParsingErrorInsertTokenAfter,{fl| VariableDeclaratorId},Syntax error on token "fl"^ VariableDeclaratorId expected after this token
ParsingError,{fl| final},Syntax error on token "fl"^ final expected
ParsingErrorInsertTokenAfter,{float| VariableDeclaratorId},Syntax error on token "float"^ VariableDeclaratorId expected after this token
ParsingError,{float| final},Syntax error on token "float"^ final expected
ParsingErrorInsertTokenAfter,{for| (},Syntax error on token "for"^ ( expected after this token
ParsingErrorInvalidToken,{s| Modifiers},Syntax error on token "s"^ invalid Modifiers
ParsingErrorInvalidToken,{sta| Modifiers},Syntax error on token "sta"^ invalid Modifiers
ParsingError,{{| (},Syntax error on token "{"^ ( expected
ParsingErrorDeleteToken,{}},Syntax error on token "}"^ delete this token
ParsingErrorDeleteTokens,{},Syntax error on tokens^ delete these tokens
ParsingErrorMisplacedConstruct,{},Syntax error on token(s)^ misplaced construct(s)
ParsingErrorInsertToComplete,{) Statement| ForStatement},Syntax error^ insert ") Statement" to complete ForStatement
ParsingErrorInsertToComplete,{)| Expression},Syntax error^ insert ")" to complete Expression
ParsingErrorInsertToComplete,{)| MethodInvocation},Syntax error^ insert ")" to complete MethodInvocation
ParsingErrorInsertToComplete,{; ) Statement| ForStatement},Syntax error^ insert "; ) Statement" to complete ForStatement
ParsingErrorInsertToComplete,{; ; ) Statement| ForStatement},Syntax error^ insert "; ; ) Statement" to complete ForStatement
ParsingErrorInsertToComplete,{;| BlockStatements},Syntax error^ insert ";" to complete BlockStatements
ParsingErrorInsertToComplete,{;| FieldDeclaration},Syntax error^ insert ";" to complete FieldDeclaration
ParsingErrorInsertToComplete,{;| ReturnStatement},Syntax error^ insert ";" to complete ReturnStatement
